;FREFIIL;FIL
0;1;44
1;45;2
2;47;2
3;49;2
4;51;2
5;53;1
6;54;2
7;56;1
8;57;1
9;58;1
10;59;1
11;60;1
12;61;1
13;62;1
14;63;12
15;75;50
16;125;11
17;136;11
18;147;1
19;148;1
20;149;1
21;150;1
22;151;1
23;152;1
24;153;1
25;154;1
26;155;1
27;156;1
28;157;1
29;158;26
30;184;1
31;185;2
32;187;50
33;237;1
34;238;3
35;241;2
36;243;1
37;244;1
38;245;1
39;246;1
40;247;1
41;248;1
42;249;1
43;250;1
44;251;1
45;252;1
46;253;2
47;255;1
48;256;1
49;257;1
50;258;1
51;259;1
52;260;1
53;261;1
54;262;10
56;272;0
57;272;51
58;323;51
59;374;11
60;385;11
61;396;0
62;396;0
63;396;0
64;396;0
65;396;0
66;396;0
67;396;0
68;396;0
69;396;0
70;396;0
71;396;0
72;396;0
73;396;0
74;396;37
75;433;37
76;470;0
78;470;0
79;470;1
80;471;1
81;472;1
82;473;2
83;475;61
84;536;0
85;536;1
86;537;1
87;538;0
88;538;1
89;539;1
90;540;1
91;541;1
92;542;1
93;543;1
94;544;0
95;544;1
96;545;1
97;546;1
98;547;0
99;547;1
100;548;1
101;549;1
102;550;1
103;551;1
104;552;1
105;553;1
106;554;1
107;555;1
108;556;11
109;567;11
110;578;1
111;579;0
112;579;0
113;579;1
114;580;0
115;580;1
116;581;0
117;581;0
118;581;0
119;581;1
120;582;1
121;583;1
122;584;1
123;585;1
124;586;1
125;587;0
126;587;0
127;587;1
128;588;1
129;589;1
130;590;1
131;591;1
132;592;1
133;593;1
134;594;1
135;595;1
136;596;0
137;596;0
138;596;0
139;596;1
140;597;0
141;597;1
142;598;0
143;598;1
144;599;1
145;600;1
146;601;1
147;602;1
148;603;0
149;603;1
150;604;0
151;604;1
152;605;0
153;605;1
154;606;1
155;607;0
156;607;0
157;607;1
158;608;1
159;609;0
160;609;1
161;610;1
162;611;0
163;611;1
164;612;0
165;612;0
166;612;1
167;613;1
168;614;1
169;615;1
170;616;0
171;616;1
172;617;0
173;617;1
174;618;0
175;618;0
176;618;1
177;0;0
